case_type,filing_year,state,court_level,number_of_hearings,judge_workload,historical_disposal_rate,delay_months
Civil,2022,Karnataka,High,18,268,0.48,36.49
Property,2019,Uttar Pradesh,Supreme,38,764,0.77,45.35
Civil,2016,Maharashtra,Supreme,16,422,0.33,47.89
Criminal,2022,Karnataka,Supreme,13,787,0.71,52.3
Civil,2017,Delhi,District,19,452,0.8,21.7
Criminal,2020,Maharashtra,Supreme,11,393,0.35,44.78
Civil,2016,Delhi,High,39,621,0.89,38.47
Commercial,2018,Maharashtra,High,19,710,0.84,26.98
Civil,2010,Karnataka,Supreme,6,269,0.72,29.47
Property,2011,Karnataka,High,29,730,0.37,35.05
Family,2018,Karnataka,District,5,372,0.31,13.07
Family,2016,Karnataka,High,30,655,0.37,35.71
Property,2011,Delhi,High,3,586,0.65,18.53
Property,2020,Uttar Pradesh,District,27,316,0.88,21.07
Criminal,2019,Maharashtra,District,34,372,0.33,39.63
Commercial,2019,Uttar Pradesh,District,13,428,0.45,26.23
Family,2023,Uttar Pradesh,High,21,731,0.35,30.89
Family,2018,Maharashtra,High,17,614,0.9,21.97
Commercial,2023,Maharashtra,High,5,670,0.33,28.57
Family,2013,Karnataka,Supreme,30,572,0.47,48.95
Family,2012,Uttar Pradesh,District,30,289,0.53,22.32
Civil,2013,Karnataka,Supreme,39,240,0.46,52.67
Commercial,2016,Maharashtra,High,29,701,0.32,39.37
Criminal,2011,Karnataka,District,15,757,0.35,28.77
Family,2014,Delhi,District,8,793,0.55,20.77
Family,2018,Uttar Pradesh,High,12,441,0.63,22.56
Property,2013,Delhi,District,7,318,0.55,12.86
Property,2018,Karnataka,High,13,481,0.53,28.59
Property,2017,Uttar Pradesh,Supreme,24,660,0.34,46.23
Civil,2020,Delhi,Supreme,7,636,0.65,47.09
Property,2023,Maharashtra,Supreme,39,657,0.53,48.55
Criminal,2015,Tamil Nadu,High,3,250,0.46,25.45
Family,2016,Maharashtra,District,6,645,0.83,2.72
Property,2013,Karnataka,District,5,505,0.81,10.65
Civil,2023,Maharashtra,District,7,600,0.38,30.17
Civil,2020,Karnataka,Supreme,36,505,0.65,57.18
Civil,2012,Maharashtra,Supreme,32,534,0.56,52.93
Family,2021,Maharashtra,Supreme,35,534,0.54,49.59
Property,2014,Karnataka,District,19,332,0.78,20.66
Civil,2013,Uttar Pradesh,Supreme,19,707,0.34,50.74
Commercial,2022,Karnataka,District,7,745,0.67,17.81
Civil,2014,Delhi,High,13,310,0.38,29.99
Family,2019,Tamil Nadu,District,18,294,0.54,15.82
Commercial,2013,Uttar Pradesh,High,6,480,0.84,24.08
Criminal,2016,Tamil Nadu,High,5,292,0.88,20.52
Civil,2015,Tamil Nadu,High,23,204,0.51,35.95
Property,2011,Karnataka,District,24,604,0.63,17.3
Property,2023,Maharashtra,High,36,277,0.5,35.31
Property,2020,Karnataka,District,29,272,0.36,31.51
Criminal,2019,Maharashtra,High,32,306,0.85,37.97
Commercial,2013,Maharashtra,High,19,225,0.82,27.09
Civil,2017,Tamil Nadu,High,17,502,0.52,31.99
Civil,2015,Delhi,High,24,725,0.67,36.67
Property,2022,Delhi,District,28,725,0.39,22.77
Commercial,2018,Delhi,High,9,202,0.84,30.36
Civil,2020,Delhi,High,20,705,0.51,41.31
Civil,2017,Maharashtra,District,17,391,0.46,27.25
Criminal,2012,Tamil Nadu,Supreme,19,430,0.35,50.16
Property,2019,Uttar Pradesh,District,27,344,0.51,17.31
Commercial,2010,Uttar Pradesh,District,20,310,0.65,22.43
Family,2018,Maharashtra,High,24,233,0.63,30.47
Property,2013,Karnataka,Supreme,39,717,0.84,54.23
Family,2013,Uttar Pradesh,District,36,642,0.51,31.4
Commercial,2019,Uttar Pradesh,Supreme,35,636,0.36,55.64
Family,2015,Uttar Pradesh,District,8,781,0.45,18.16
Property,2015,Karnataka,District,32,336,0.35,26.62
Commercial,2014,Delhi,District,33,239,0.72,31.08
Civil,2014,Maharashtra,District,17,317,0.45,27.61
Property,2022,Tamil Nadu,District,4,591,0.59,12.72
Family,2012,Maharashtra,District,28,317,0.73,23.35
Family,2018,Maharashtra,High,22,424,0.74,31.38
Family,2018,Karnataka,High,16,519,0.35,28.49
Commercial,2013,Tamil Nadu,District,13,710,0.59,22.74
Civil,2015,Tamil Nadu,High,12,460,0.34,33.34
Criminal,2012,Karnataka,District,4,212,0.71,26.19
Property,2014,Tamil Nadu,District,37,294,0.86,23.03
Property,2020,Maharashtra,Supreme,16,575,0.89,33.32
Civil,2017,Delhi,District,3,495,0.73,15.42
Civil,2012,Delhi,High,31,428,0.42,40.62
Commercial,2019,Maharashtra,Supreme,7,578,0.68,36.52
Family,2010,Uttar Pradesh,Supreme,6,241,0.54,29.26
Family,2021,Maharashtra,District,16,621,0.62,23.91
Family,2013,Maharashtra,Supreme,17,344,0.84,36.03
Criminal,2019,Maharashtra,High,8,778,0.68,26.35
Family,2018,Tamil Nadu,District,10,753,0.38,22.26
Civil,2015,Delhi,High,32,430,0.64,43.64
Property,2017,Karnataka,Supreme,31,749,0.75,48.4
Family,2023,Maharashtra,High,35,453,0.42,37.99
Criminal,2017,Tamil Nadu,District,4,721,0.6,23.99
Criminal,2023,Maharashtra,High,15,358,0.53,34.56
Family,2022,Karnataka,Supreme,26,214,0.78,36.06
Criminal,2010,Karnataka,High,14,329,0.31,33.53
Property,2016,Tamil Nadu,Supreme,38,491,0.73,50.16
Commercial,2018,Delhi,High,12,749,0.44,33.16
Civil,2023,Delhi,District,25,545,0.87,30.09
Civil,2013,Delhi,District,20,659,0.36,29.61
Civil,2014,Delhi,District,6,332,0.85,15.45
Criminal,2014,Uttar Pradesh,District,30,577,0.34,40.78
Family,2015,Tamil Nadu,District,31,661,0.86,25.24
Commercial,2019,Karnataka,District,39,604,0.4,40.88
Criminal,2020,Uttar Pradesh,High,38,381,0.8,39.11
Civil,2014,Tamil Nadu,District,17,630,0.33,28.2
Criminal,2020,Uttar Pradesh,District,11,401,0.78,26.27
Property,2020,Karnataka,District,13,585,0.58,11.59
Family,2010,Uttar Pradesh,District,29,617,0.85,22.84
Property,2011,Maharashtra,High,26,224,0.6,27.49
Family,2023,Uttar Pradesh,Supreme,8,700,0.85,35.74
Criminal,2011,Karnataka,Supreme,24,355,0.43,45.72
Civil,2017,Karnataka,District,9,283,0.58,24.85
Property,2010,Uttar Pradesh,High,9,340,0.54,21.03
Family,2011,Uttar Pradesh,High,21,517,0.42,37.18
Commercial,2017,Karnataka,Supreme,20,789,0.73,42.27
Civil,2017,Maharashtra,District,4,701,0.56,27.15
Commercial,2011,Delhi,High,6,463,0.82,16.21
Commercial,2016,Karnataka,District,5,657,0.84,21.91
Family,2017,Maharashtra,High,30,377,0.82,28.95
Commercial,2020,Maharashtra,Supreme,10,512,0.43,42.99
Property,2011,Tamil Nadu,Supreme,10,253,0.5,29.14
Family,2020,Maharashtra,District,39,778,0.83,36.13
Commercial,2020,Tamil Nadu,District,37,295,0.89,30.87
Family,2012,Delhi,District,34,319,0.78,23.56
Criminal,2016,Delhi,District,20,206,0.68,24.09
Property,2014,Delhi,District,35,350,0.81,29.0
Family,2012,Maharashtra,District,3,722,0.46,18.99
Family,2011,Karnataka,Supreme,4,670,0.32,34.07
Commercial,2011,Tamil Nadu,High,32,425,0.82,38.1
Family,2014,Uttar Pradesh,District,37,699,0.88,27.62
Criminal,2013,Tamil Nadu,Supreme,32,258,0.84,50.95
Property,2016,Karnataka,Supreme,34,314,0.61,46.65
Criminal,2021,Uttar Pradesh,Supreme,27,558,0.43,57.95
Property,2010,Delhi,District,24,434,0.55,26.15
Family,2022,Karnataka,District,8,345,0.62,16.7
Criminal,2017,Karnataka,High,38,240,0.46,50.82
Civil,2020,Karnataka,Supreme,14,798,0.36,51.53
Criminal,2022,Delhi,Supreme,24,226,0.84,46.63
Criminal,2018,Delhi,Supreme,14,654,0.64,50.09
Civil,2021,Karnataka,District,19,675,0.76,23.09
Civil,2013,Uttar Pradesh,Supreme,3,491,0.76,33.84
Civil,2014,Maharashtra,High,31,348,0.8,39.45
Property,2018,Karnataka,Supreme,37,509,0.59,47.32
Commercial,2022,Delhi,High,26,605,0.74,36.47
Property,2018,Delhi,District,19,706,0.66,17.4
Criminal,2018,Uttar Pradesh,District,36,400,0.76,36.3
Commercial,2010,Uttar Pradesh,Supreme,27,238,0.35,52.69
Criminal,2019,Tamil Nadu,District,39,307,0.72,39.24
Criminal,2016,Karnataka,District,21,243,0.78,22.42
Family,2011,Uttar Pradesh,High,19,529,0.71,23.08
Criminal,2011,Tamil Nadu,Supreme,18,415,0.76,45.68
Criminal,2014,Uttar Pradesh,Supreme,33,280,0.7,54.8
Commercial,2023,Delhi,Supreme,27,665,0.59,50.63
Family,2015,Uttar Pradesh,District,17,770,0.89,20.59
Family,2023,Tamil Nadu,High,25,285,0.85,25.47
Family,2022,Delhi,High,16,534,0.72,25.48
Civil,2019,Delhi,Supreme,25,676,0.58,50.82
Civil,2014,Maharashtra,High,32,571,0.81,42.42
Commercial,2016,Karnataka,Supreme,19,725,0.66,43.6
Commercial,2011,Uttar Pradesh,High,37,387,0.59,39.71
Family,2022,Maharashtra,District,28,382,0.54,27.46
Family,2016,Delhi,District,17,696,0.62,24.95
Criminal,2013,Maharashtra,District,35,215,0.56,38.56
Criminal,2015,Delhi,District,4,510,0.58,21.99
Commercial,2018,Uttar Pradesh,Supreme,34,238,0.31,47.72
Property,2015,Karnataka,District,31,676,0.32,38.85
Property,2017,Karnataka,District,12,558,0.61,15.53
Family,2018,Delhi,Supreme,3,202,0.58,30.08
Commercial,2015,Maharashtra,District,20,492,0.33,27.26
Civil,2022,Tamil Nadu,High,3,784,0.37,28.78
Criminal,2020,Maharashtra,High,39,260,0.46,44.67
Commercial,2016,Karnataka,Supreme,8,639,0.83,39.58
Family,2018,Tamil Nadu,High,36,352,0.75,32.64
Civil,2022,Karnataka,Supreme,6,770,0.54,41.87
Property,2013,Delhi,High,12,306,0.41,24.75
Criminal,2013,Uttar Pradesh,District,28,705,0.77,33.86
Civil,2012,Delhi,Supreme,25,720,0.86,48.6
Property,2019,Tamil Nadu,High,37,261,0.9,29.85
Civil,2013,Delhi,Supreme,15,319,0.75,44.03
Commercial,2021,Maharashtra,Supreme,27,528,0.84,44.98
Commercial,2014,Maharashtra,High,5,740,0.83,27.98
Commercial,2019,Maharashtra,High,27,531,0.32,40.13
Property,2013,Tamil Nadu,Supreme,13,425,0.55,34.65
Civil,2017,Tamil Nadu,District,17,237,0.46,26.17
Family,2020,Karnataka,High,8,236,0.43,25.44
Family,2012,Delhi,District,15,792,0.34,24.15
Property,2018,Uttar Pradesh,District,5,767,0.7,18.26
Criminal,2013,Karnataka,District,29,488,0.83,34.85
Civil,2012,Delhi,High,35,770,0.82,46.33
Property,2018,Delhi,High,15,562,0.44,23.94
Family,2010,Tamil Nadu,Supreme,7,756,0.82,34.64
Commercial,2012,Karnataka,High,33,734,0.3,42.21
Criminal,2012,Karnataka,Supreme,33,281,0.79,53.33
Commercial,2021,Delhi,District,16,788,0.6,27.45
Civil,2018,Karnataka,District,19,559,0.46,30.63
Civil,2010,Delhi,Supreme,26,564,0.77,49.74
Commercial,2017,Tamil Nadu,Supreme,12,432,0.88,35.32
Family,2022,Uttar Pradesh,Supreme,30,771,0.41,50.92
Property,2019,Maharashtra,District,22,683,0.34,28.46
Civil,2016,Tamil Nadu,High,29,391,0.72,37.61
Criminal,2019,Delhi,Supreme,3,221,0.67,34.91
Criminal,2012,Uttar Pradesh,District,20,505,0.89,26.39
Civil,2010,Delhi,Supreme,37,580,0.53,62.73
Property,2013,Uttar Pradesh,Supreme,31,232,0.49,47.62
Commercial,2012,Tamil Nadu,District,25,737,0.4,32.67
Property,2010,Uttar Pradesh,Supreme,36,484,0.87,48.04
Commercial,2017,Karnataka,High,13,329,0.76,25.51
Criminal,2013,Karnataka,District,22,221,0.38,25.87
Family,2019,Karnataka,Supreme,17,361,0.43,36.11
Criminal,2010,Karnataka,District,27,723,0.64,43.88
Commercial,2014,Maharashtra,District,27,508,0.39,26.71
Commercial,2017,Delhi,District,29,761,0.76,28.68
Property,2017,Uttar Pradesh,High,26,577,0.67,31.04
Criminal,2021,Karnataka,Supreme,17,352,0.3,53.93
Civil,2013,Maharashtra,Supreme,22,720,0.42,56.5
Family,2017,Delhi,High,24,700,0.46,30.5
Criminal,2010,Delhi,High,15,271,0.58,35.4
Commercial,2011,Tamil Nadu,District,32,519,0.54,36.44
Civil,2012,Delhi,High,10,413,0.75,29.86
Civil,2012,Uttar Pradesh,District,19,787,0.89,28.46
Criminal,2022,Maharashtra,Supreme,24,291,0.72,44.23
Family,2016,Karnataka,District,12,441,0.5,14.78
Commercial,2011,Karnataka,District,15,788,0.35,28.99
Civil,2020,Karnataka,High,24,302,0.38,42.61
Criminal,2013,Delhi,Supreme,17,305,0.4,49.47
Civil,2020,Maharashtra,District,13,516,0.72,24.64
Property,2020,Uttar Pradesh,High,14,463,0.87,18.99
Commercial,2018,Uttar Pradesh,District,30,517,0.77,28.46
Property,2016,Tamil Nadu,Supreme,13,283,0.63,40.27
Property,2017,Uttar Pradesh,Supreme,8,513,0.77,29.69
Property,2022,Uttar Pradesh,District,16,211,0.45,17.54
Commercial,2018,Tamil Nadu,District,15,736,0.82,20.57
Family,2015,Maharashtra,High,34,506,0.4,34.47
Commercial,2020,Maharashtra,District,8,748,0.9,19.59
Criminal,2015,Uttar Pradesh,District,12,234,0.43,26.4
Criminal,2023,Karnataka,District,17,552,0.8,31.41
Property,2022,Delhi,District,39,715,0.74,30.43
Commercial,2017,Tamil Nadu,Supreme,22,351,0.63,50.99
Civil,2020,Maharashtra,High,36,711,0.66,45.75
Property,2022,Delhi,High,17,617,0.78,22.21
Civil,2021,Delhi,High,5,436,0.58,22.97
Property,2022,Maharashtra,District,23,719,0.54,30.27
Civil,2011,Karnataka,Supreme,16,533,0.61,49.06
Family,2022,Karnataka,District,39,752,0.45,34.05
Family,2018,Tamil Nadu,High,27,283,0.66,30.92
Criminal,2019,Tamil Nadu,Supreme,8,344,0.53,38.26
Commercial,2015,Karnataka,Supreme,14,500,0.44,46.08
Criminal,2013,Delhi,District,33,594,0.83,30.38
Criminal,2020,Tamil Nadu,Supreme,31,560,0.56,53.53
Commercial,2016,Delhi,High,22,712,0.45,32.73
Criminal,2021,Tamil Nadu,High,39,403,0.58,41.19
Civil,2015,Delhi,High,30,566,0.82,37.68
Family,2012,Tamil Nadu,Supreme,16,710,0.44,40.11
Civil,2017,Karnataka,High,28,200,0.37,40.5
Family,2011,Delhi,Supreme,7,360,0.6,30.86
Civil,2023,Uttar Pradesh,High,16,211,0.39,34.96
Commercial,2012,Uttar Pradesh,District,33,383,0.61,32.27
Family,2012,Maharashtra,Supreme,25,627,0.62,40.37
Family,2016,Tamil Nadu,High,23,328,0.74,26.9
Property,2021,Maharashtra,Supreme,31,551,0.44,46.3
Civil,2022,Uttar Pradesh,District,20,344,0.8,25.36
Criminal,2013,Uttar Pradesh,Supreme,14,544,0.71,42.11
Commercial,2011,Karnataka,Supreme,18,252,0.7,41.53
Property,2021,Karnataka,District,28,419,0.4,21.35
Commercial,2010,Tamil Nadu,Supreme,35,288,0.82,49.97
Property,2010,Karnataka,High,11,788,0.47,27.59
Civil,2022,Delhi,High,6,218,0.78,21.02
Civil,2016,Maharashtra,High,20,596,0.78,38.03
Commercial,2011,Tamil Nadu,Supreme,26,654,0.3,50.76
Commercial,2015,Tamil Nadu,District,17,264,0.52,27.72
Family,2011,Uttar Pradesh,Supreme,31,672,0.66,43.08
Property,2023,Delhi,High,34,696,0.57,36.39
Commercial,2017,Tamil Nadu,District,10,202,0.63,17.02
Civil,2010,Delhi,District,10,649,0.59,21.42
Commercial,2012,Uttar Pradesh,Supreme,39,499,0.59,48.65
Commercial,2020,Tamil Nadu,Supreme,25,525,0.75,45.79
Property,2013,Uttar Pradesh,Supreme,23,606,0.56,47.42
Commercial,2010,Uttar Pradesh,District,18,316,0.84,21.07
Family,2013,Maharashtra,High,17,523,0.86,22.94
Commercial,2012,Karnataka,District,24,533,0.59,25.82
Family,2011,Maharashtra,High,29,355,0.62,26.9
Property,2018,Uttar Pradesh,District,18,305,0.67,14.38
Family,2020,Uttar Pradesh,District,6,289,0.37,17.01
Family,2010,Maharashtra,High,13,462,0.71,22.34
Family,2022,Karnataka,District,9,511,0.78,9.81
Criminal,2011,Karnataka,Supreme,38,283,0.59,56.6
Commercial,2013,Maharashtra,District,15,317,0.61,25.66
Commercial,2017,Maharashtra,District,30,225,0.43,25.74
Property,2013,Tamil Nadu,High,10,351,0.51,26.66
Family,2013,Delhi,District,28,492,0.48,28.2
Family,2011,Uttar Pradesh,District,12,345,0.76,15.22
Property,2011,Maharashtra,High,12,638,0.65,25.45
Civil,2015,Karnataka,District,36,631,0.49,37.21
Commercial,2014,Tamil Nadu,District,37,654,0.63,34.07
Civil,2012,Delhi,District,27,519,0.38,30.78
Commercial,2023,Maharashtra,Supreme,23,753,0.56,51.36
Criminal,2011,Maharashtra,District,26,501,0.36,39.72
Family,2013,Maharashtra,Supreme,28,301,0.65,39.37
Civil,2019,Delhi,Supreme,39,552,0.66,55.81
Commercial,2014,Tamil Nadu,Supreme,11,552,0.44,39.86
Property,2013,Delhi,Supreme,4,716,0.34,35.17
Civil,2020,Uttar Pradesh,District,34,348,0.46,40.95
Civil,2023,Tamil Nadu,District,5,541,0.7,23.52
Criminal,2023,Tamil Nadu,Supreme,25,371,0.7,54.23
Criminal,2016,Karnataka,Supreme,32,315,0.34,57.01
Civil,2016,Uttar Pradesh,High,38,652,0.41,44.45
Commercial,2021,Karnataka,Supreme,18,645,0.55,46.84
Criminal,2010,Uttar Pradesh,Supreme,18,211,0.51,49.28
Property,2010,Karnataka,District,18,741,0.44,25.84
Property,2021,Maharashtra,District,30,303,0.31,29.53
Criminal,2018,Uttar Pradesh,Supreme,3,485,0.61,42.54
Family,2016,Maharashtra,District,8,605,0.35,16.97
Property,2011,Uttar Pradesh,High,18,659,0.77,26.98
Family,2022,Delhi,High,36,708,0.32,36.67
Property,2020,Tamil Nadu,District,4,560,0.35,13.43
Criminal,2020,Tamil Nadu,High,29,648,0.48,40.87
Commercial,2019,Tamil Nadu,High,6,665,0.61,20.09
Family,2017,Uttar Pradesh,High,37,605,0.6,36.8
Criminal,2016,Delhi,Supreme,37,357,0.83,53.47
Criminal,2018,Karnataka,Supreme,32,661,0.78,52.81
Civil,2022,Uttar Pradesh,High,11,598,0.54,35.06
Criminal,2014,Delhi,High,4,329,0.43,29.25
Civil,2014,Karnataka,District,12,736,0.65,28.5
Family,2015,Uttar Pradesh,Supreme,35,363,0.66,42.98
Commercial,2020,Delhi,Supreme,37,224,0.7,51.54
Family,2018,Maharashtra,High,36,591,0.59,31.27
Criminal,2020,Maharashtra,High,14,327,0.56,32.78
Commercial,2015,Delhi,District,15,742,0.6,23.1
Property,2018,Karnataka,Supreme,8,242,0.67,29.29
Property,2018,Uttar Pradesh,High,25,666,0.53,27.87
Family,2016,Maharashtra,District,27,581,0.9,23.14
Property,2010,Delhi,High,33,255,0.48,28.56
Family,2018,Tamil Nadu,District,23,528,0.77,20.3
Civil,2020,Delhi,District,9,279,0.71,24.75
Civil,2019,Delhi,District,19,300,0.67,29.84
Civil,2023,Tamil Nadu,District,31,619,0.62,32.36
Criminal,2012,Maharashtra,Supreme,37,718,0.62,58.85
Criminal,2013,Tamil Nadu,District,24,725,0.41,38.4
Family,2018,Uttar Pradesh,High,4,773,0.59,21.52
Civil,2017,Tamil Nadu,High,17,670,0.38,32.96
Civil,2014,Uttar Pradesh,Supreme,23,441,0.68,47.66
Property,2016,Karnataka,High,20,372,0.33,24.26
Family,2018,Uttar Pradesh,Supreme,13,507,0.46,34.68
Property,2023,Tamil Nadu,High,28,709,0.39,38.69
Property,2020,Maharashtra,High,37,635,0.82,32.06
Family,2016,Uttar Pradesh,High,23,753,0.84,32.06
Civil,2020,Maharashtra,Supreme,31,296,0.8,45.1
Commercial,2012,Tamil Nadu,High,23,483,0.68,34.76
Property,2015,Uttar Pradesh,District,10,278,0.83,12.38
Civil,2020,Tamil Nadu,District,25,372,0.39,32.59
Commercial,2021,Uttar Pradesh,District,39,207,0.33,40.44
Property,2021,Uttar Pradesh,Supreme,25,242,0.7,37.55
Commercial,2011,Maharashtra,District,19,347,0.74,22.85
Family,2011,Maharashtra,High,33,565,0.89,29.42
Civil,2019,Karnataka,Supreme,7,549,0.8,42.57
Civil,2010,Delhi,Supreme,10,519,0.55,42.78
Property,2013,Tamil Nadu,District,19,422,0.77,15.48
Criminal,2023,Tamil Nadu,Supreme,27,528,0.53,52.51
Family,2015,Delhi,Supreme,6,789,0.34,36.74
Commercial,2015,Maharashtra,District,27,577,0.59,29.44
Property,2022,Karnataka,Supreme,38,687,0.37,54.23
Criminal,2017,Karnataka,High,15,359,0.75,33.2
Commercial,2015,Karnataka,Supreme,13,721,0.5,46.93
Civil,2023,Delhi,High,20,382,0.36,38.8
Commercial,2014,Karnataka,Supreme,27,613,0.86,39.64
Property,2020,Tamil Nadu,Supreme,34,634,0.83,41.02
Commercial,2014,Uttar Pradesh,High,34,421,0.82,38.75
Civil,2017,Karnataka,High,14,432,0.63,27.3
Civil,2021,Tamil Nadu,High,10,501,0.74,30.43
Criminal,2016,Tamil Nadu,Supreme,9,435,0.33,48.92
Commercial,2011,Maharashtra,Supreme,27,733,0.62,47.23
Property,2019,Maharashtra,High,15,665,0.36,26.74
Property,2023,Tamil Nadu,District,33,662,0.6,29.94
Family,2020,Delhi,District,26,243,0.74,26.93
Commercial,2023,Uttar Pradesh,District,5,218,0.39,21.01
Property,2019,Delhi,District,32,307,0.68,22.4
Commercial,2016,Uttar Pradesh,District,18,783,0.45,30.76
Family,2017,Karnataka,High,7,714,0.9,19.01
Property,2019,Maharashtra,District,36,690,0.49,29.45
Civil,2019,Maharashtra,High,23,501,0.67,34.27
Family,2018,Karnataka,High,15,592,0.63,21.79
